"sigla";"razao_social";"cnpj";"tipo_de_ativo";"ano";"setor_de_atividade";"total_pp";"on_pp";"pn_pp";"aberta_fechada";"acordo_de_acionistas_em_vigor";"indicado_para_conselho_de_administracao";"indicado_para_conselho_fiscal"
"ABICO";"ABICO - CIA. DE INVESTIMENTOS ÁRABE E BRASILEIRO";"42.470.443/0001-96";"PARTICIPAÇÃO ACIONÁRIA";2022;"OUTROS SETORES";"35,0";"35,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"ABICO";"ABICO - CIA. DE INVESTIMENTOS ÁRABE E BRASILEIRO";"42.470.443/0001-96";"PARTICIPAÇÃO ACIONÁRIA";2021;"OUTROS SETORES";"35,0";"35,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"ABICO";"ABICO - CIA. DE INVESTIMENTOS ÁRABE E BRASILEIRO";"42.470.443/0001-96";"PARTICIPAÇÃO ACIONÁRIA";2020;"OUTROS SETORES";"35,0";"35,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"ABICO";"ABICO - CIA. DE INVESTIMENTOS ÁRABE E BRASILEIRO";"42.470.443/0001-96";"PARTICIPAÇÃO ACIONÁRIA";2019;"OUTROS SETORES";"35,0";"35,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"ABICO";"ABICO - CIA. DE INVESTIMENTOS ÁRABE E BRASILEIRO";"42.470.443/0001-96";"PARTICIPAÇÃO ACIONÁRIA";2018;"OUTROS SETORES";"35,0";"35,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"ABICO";"ABICO - CIA. DE INVESTIMENTOS ÁRABE E BRASILEIRO";"42.470.443/0001-96";"PARTICIPAÇÃO ACIONÁRIA";2017;"OUTROS SETORES";"35,0";"35,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"ABICO";"ABICO - CIA. DE INVESTIMENTOS ÁRABE E BRASILEIRO";"42.470.443/0001-96";"PARTICIPAÇÃO ACIONÁRIA";2016;"OUTROS SETORES";"35,0";"35,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"ABICO";"ABICO - CIA. DE INVESTIMENTOS ÁRABE E BRASILEIRO";"42.470.443/0001-96";"PARTICIPAÇÃO ACIONÁRIA";2015;"OUTROS SETORES";"35,0";"35,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"ABICO";"ABICO - CIA. DE INVESTIMENTOS ÁRABE E BRASILEIRO";"42.470.443/0001-96";"PARTICIPAÇÃO ACIONÁRIA";2014;"OUTROS SETORES";"35,0";"35,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"ABICO";"ABICO - CIA. DE INVESTIMENTOS ÁRABE E BRASILEIRO";"42.470.443/0001-96";"PARTICIPAÇÃO ACIONÁRIA";2013;"OUTROS SETORES";"35,0";"35,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"ABICO";"ABICO - CIA. DE INVESTIMENTOS ÁRABE E BRASILEIRO";"42.470.443/0001-96";"PARTICIPAÇÃO ACIONÁRIA";2012;"OUTROS SETORES";"35,0";"35,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"ABICO";"ABICO - CIA. DE INVESTIMENTOS ÁRABE E BRASILEIRO";"42.470.443/0001-96";"PARTICIPAÇÃO ACIONÁRIA";2011;"OUTROS SETORES";"35,0";"35,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"AÇOS VILLARES";"AÇOS VILLARES S.A.";"60.664.810/0001-74";"PARTICIPAÇÃO ACIONÁRIA";2007;"SIDERURGIA/METALURGIA";"28,88";"28,88";"0,0";"ABERTA";"SIM";"SIM";"SIM"
"AÇOS VILLARES";"AÇOS VILLARES S.A.";"60.664.810/0001-74";"PARTICIPAÇÃO ACIONÁRIA";2006;"SIDERURGIA/METALURGIA";"28,88";"28,88";"0,0";"ABERTA";"SIM";"SIM";"SIM"
"AES BRASIL ENER";"AES BRASIL ENERGIA S.A.";"37.663.076/0001-07";"PARTICIPAÇÃO ACIONÁRIA";2022;"ENERGIA";"8,04";"8,04";"0,0";"ABERTA";"SIM";"SIM";"NÃO"
"AES BRASIL ENER";"AES BRASIL ENERGIA S.A.";"37.663.076/0001-07";"PARTICIPAÇÃO ACIONÁRIA";2021;"ENERGIA";"8,04";"8,04";"0,0";"ABERTA";"SIM";"SIM";"NÃO"
"AES COMM RJ";"AES COMMUNICATIONS RIO DE JANEIRO S.A.";"02.720.349/0001-23";"-";2011;"TELECOMUNICAÇÕES";"";"";"";"FECHADA";"NÃO";"NÃO";"SIM"
"AES COMM RJ";"AES COMMUNICATIONS RIO DE JANEIRO S.A.";"02.720.349/0001-23";"-";2010;"TELECOMUNICAÇÕES";"";"";"";"FECHADA";"NÃO";"SIM";"SIM"
"AES COMM RJ";"AES COMMUNICATIONS RIO DE JANEIRO S.A.";"02.720.349/0001-23";"-";2009;"TELECOMUNICAÇÕES";"";"";"";"FECHADA";"NÃO";"SIM";"NÃO"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2022;"ENERGIA";"0,0";"0,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2021;"ENERGIA";"0,0";"0,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2020;"ENERGIA";"0,0";"0,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2019;"ENERGIA";"0,0";"0,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2018;"ENERGIA";"0,0";"0,0";"0,0";"FECHADA";"NÃO";"SIM";"NÃO"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2017;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"NÃO"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2016;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"NÃO"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2015;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"NÃO"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2014;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"NÃO"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2013;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"SIM"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2012;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"SIM"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2011;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"SIM"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2010;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"SIM"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2009;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"SIM"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2008;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"SIM"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2007;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"SIM"
"AES ELPA";"AES ELPA S.A.";"01.917.705/0001-30";"PARTICIPAÇÃO ACIONÁRIA";2006;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"SIM"
"AES TE";"AES TIETÊ EMPREENDIMENTOS S.A.";"02.670.218/0001-89";"-";2008;"ALIMENTOS/BEBIDAS";"";"";"";"FECHADA";"NÃO";"SIM";"NÃO"
"AES TH";"AES TIETÊ HOLDINGS LTD";"N/A";"PARTICIPAÇÃO ACIONÁRIA";2007;"ENERGIA";"0,1";"0,1";"0,0";"N/A";"NÃO";"NÃO";"NÃO"
"AES TIETÊ";"AES TIETÊ S.A.";"02.998.609/0001-27";"-";2015;"ENERGIA";"";"";"";"ABERTA";"NÃO";"NÃO";"SIM"
"AES TIETÊ";"AES TIETÊ S.A.";"02.998.609/0001-27";"PARTICIPAÇÃO ACIONÁRIA";2014;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"SIM"
"AES TIETÊ";"AES TIETÊ S.A.";"02.998.609/0001-27";"PARTICIPAÇÃO ACIONÁRIA";2013;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"SIM"
"AES TIETÊ";"AES TIETÊ S.A.";"02.998.609/0001-27";"PARTICIPAÇÃO ACIONÁRIA";2012;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"SIM"
"AES TIETÊ";"AES TIETÊ S.A.";"02.998.609/0001-27";"PARTICIPAÇÃO ACIONÁRIA";2011;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"SIM"
"AES TIETÊ";"AES TIETÊ S.A.";"02.998.609/0001-27";"PARTICIPAÇÃO ACIONÁRIA";2010;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"SIM"
"AES TIETÊ";"AES TIETÊ S.A.";"02.998.609/0001-27";"PARTICIPAÇÃO ACIONÁRIA";2009;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"SIM"
"AES TIETÊ";"AES TIETÊ S.A.";"02.998.609/0001-27";"PARTICIPAÇÃO ACIONÁRIA";2008;"ENERGIA";"0,0";"0,0";"0,0";"ABERTA";"NÃO";"SIM";"SIM"
"AES TIETÊ";"AES TIETÊ S.A.";"02.998.609/0001-27";"-";2007;"ENERGIA";"";"";"";"ABERTA";"NÃO";"SIM";"SIM"
"AES TIETÊ";"AES TIETÊ S.A.";"02.998.609/0001-27";"-";2006;"ENERGIA";"";"";"";"ABERTA";"NÃO";"SIM";"SIM"
"AES TIETÊ ENERG";"AES TIETÊ ENERGIA S/A";"04.128.563/0001-10";"PARTICIPAÇÃO ACIONÁRIA";2020;"ENERGIA";"9,91";"5,03";"13,08";"ABERTA";"SIM";"SIM";"SIM"
"AES TIETÊ ENERG";"AES TIETÊ ENERGIA S/A";"04.128.563/0001-10";"PARTICIPAÇÃO ACIONÁRIA";2019;"ENERGIA";"28,41";"14,42";"37,51";"ABERTA";"SIM";"SIM";"SIM"
"AES TIETÊ ENERG";"AES TIETÊ ENERGIA S/A";"04.128.563/0001-10";"PARTICIPAÇÃO ACIONÁRIA";2018;"ENERGIA";"28,33";"14,38";"37,4";"ABERTA";"SIM";"SIM";"SIM"
"AES TIETÊ ENERG";"AES TIETÊ ENERGIA S/A";"04.128.563/0001-10";"PARTICIPAÇÃO ACIONÁRIA";2017;"ENERGIA";"28,33";"14,38";"37,4";"ABERTA";"SIM";"SIM";"SIM"
"AES TIETÊ ENERG";"AES TIETÊ ENERGIA S/A";"04.128.563/0001-10";"PARTICIPAÇÃO ACIONÁRIA";2016;"ENERGIA";"28,33";"14,38";"37,4";"ABERTA";"SIM";"SIM";"SIM"
"AES TIETÊ ENERG";"AES TIETÊ ENERGIA S/A";"04.128.563/0001-10";"PARTICIPAÇÃO ACIONÁRIA";2015;"ENERGIA";"28,29";"14,36";"37,35";"ABERTA";"SIM";"SIM";"NÃO"
"AES TIETÊ ENERG";"AES TIETÊ ENERGIA S/A";"04.128.563/0001-10";"PARTICIPAÇÃO ACIONÁRIA";2014;"ENERGIA";"53,85";"50,0";"100,0";"ABERTA";"SIM";"SIM";"NÃO"
"AES TIETÊ ENERG";"AES TIETÊ ENERGIA S/A";"04.128.563/0001-10";"PARTICIPAÇÃO ACIONÁRIA";2013;"ENERGIA";"53,85";"50,0";"100,0";"ABERTA";"SIM";"SIM";"NÃO"
"AES TIETÊ ENERG";"AES TIETÊ ENERGIA S/A";"04.128.563/0001-10";"PARTICIPAÇÃO ACIONÁRIA";2012;"ENERGIA";"53,85";"50,0";"100,0";"ABERTA";"SIM";"SIM";"NÃO"
"AES TIETÊ ENERG";"AES TIETÊ ENERGIA S/A";"04.128.563/0001-10";"PARTICIPAÇÃO ACIONÁRIA";2011;"ENERGIA";"53,85";"50,0";"100,0";"ABERTA";"SIM";"SIM";"NÃO"
"AES TIETÊ ENERG";"AES TIETÊ ENERGIA S/A";"04.128.563/0001-10";"PARTICIPAÇÃO ACIONÁRIA";2010;"ENERGIA";"53,85";"50,0";"100,0";"ABERTA";"SIM";"SIM";"NÃO"
"AES TIETÊ ENERG";"AES TIETÊ ENERGIA S/A";"04.128.563/0001-10";"PARTICIPAÇÃO ACIONÁRIA";2009;"ENERGIA";"53,85";"50,0";"100,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"AES TIETÊ ENERG";"AES TIETÊ ENERGIA S/A";"04.128.563/0001-10";"PARTICIPAÇÃO ACIONÁRIA";2008;"ENERGIA";"53,85";"50,0";"100,0";"ABERTA";"NÃO";"NÃO";"NÃO"
"AES TIETÊ ENERG";"AES TIETÊ ENERGIA S/A";"04.128.563/0001-10";"PARTICIPAÇÃO ACIONÁRIA";2007;"ENERGIA";"53,85";"50,0";"100,0";"ABERTA";"NÃO";"SIM";"NÃO"
"AES TIETÊ ENERG";"AES TIETÊ ENERGIA S/A";"04.128.563/0001-10";"PARTICIPAÇÃO ACIONÁRIA";2006;"ENERGIA";"53,85";"50,0";"100,0";"ABERTA";"NÃO";"SIM";"NÃO"
"AES URUGUAIANA";"AES URUGUAIANA EMPREENDIMENTOS S.A.";"01.600.202/0001-37";"PARTICIPAÇÃO ACIONÁRIA";2019;"ENERGIA";"0,0";"0,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"AES URUGUAIANA";"AES URUGUAIANA EMPREENDIMENTOS S.A.";"01.600.202/0001-37";"PARTICIPAÇÃO ACIONÁRIA";2018;"ENERGIA";"0,0";"0,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"AES URUGUAIANA";"AES URUGUAIANA EMPREENDIMENTOS S.A.";"01.600.202/0001-37";"PARTICIPAÇÃO ACIONÁRIA";2017;"ENERGIA";"0,0";"0,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"AES URUGUAIANA";"AES URUGUAIANA EMPREENDIMENTOS S.A.";"01.600.202/0001-37";"PARTICIPAÇÃO ACIONÁRIA";2016;"ENERGIA";"0,0";"0,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"AES URUGUAIANA";"AES URUGUAIANA EMPREENDIMENTOS S.A.";"01.600.202/0001-37";"PARTICIPAÇÃO ACIONÁRIA";2015;"ENERGIA";"0,0";"0,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
"AES URUGUAIANA";"AES URUGUAIANA EMPREENDIMENTOS S.A.";"01.600.202/0001-37";"PARTICIPAÇÃO ACIONÁRIA";2014;"ENERGIA";"0,0";"0,0";"0,0";"FECHADA";"NÃO";"NÃO";"NÃO"
